t_B	S_xz
0.0435	12.8035
0.0436	12.7996
0.0437	12.7957
0.0438	12.7914
0.0439	12.7872
0.044	12.7821
0.0441	12.7763
0.0442	12.7703
0.0443	12.7643
0.0444	12.7581
0.0445	12.7516
0.0446	12.7443
0.0447	12.7357
0.0448	12.7262
0.0449	12.7161
0.045	12.7058
0.0451	12.6946
0.0452	12.6826
0.0453	12.6705
0.0454	12.6582
0.0455	12.6456
0.0456	12.6328
0.0457	12.6199
0.0458	12.6072
0.0459	12.5951
0.046	12.5839
0.0461	12.5733
0.0462	12.5635
0.0463	12.5543
0.0464	12.5458
0.0465	12.5374
0.0466	12.5299
0.0467	12.5231
0.0468	12.516
0.0469	12.5093
0.047	12.503
0.0471	12.4962
0.0472	12.4894
0.0473	12.4825
0.0474	12.4751
0.0475	12.4684
0.0476	12.4623
0.0477	12.4563
0.0478	12.4508
0.0479	12.4453
0.048	12.4398
0.0481	12.4346
0.0482	12.4296
0.0483	12.425
0.0484	12.4206
0.0485	12.4168
0.0486	12.4135
0.0487	12.4101
0.0488	12.407
0.0489	12.4036
0.049	12.3993
0.0491	12.3953
0.0492	12.3913
0.0493	12.3871
0.0494	12.3825
0.0495	12.3767
0.0496	12.3699
0.0497	12.3626
0.0498	12.3544
0.0499	12.3458
0.05	12.3373
0.0501	12.3283
0.0502	12.3188
0.0503	12.309
0.0504	12.299
0.0505	12.2893
0.0506	12.2796
0.0507	12.2702
0.0508	12.2617
0.0509	12.2536
0.051	12.246
0.0511	12.2386
0.0512	12.2319
0.0513	12.2253
0.0514	12.2183
0.0515	12.2114
0.0516	12.2046
0.0517	12.1977
0.0518	12.1909
0.0519	12.1841
0.052	12.177
0.0521	12.17
0.0522	12.1631
0.0523	12.1557
0.0524	12.1482
0.0525	12.1413
0.0526	12.1347
0.0527	12.1286
0.0528	12.1227
0.0529	12.1168
0.053	12.1115
0.0531	12.1061
0.0532	12.1013
0.0533	12.0967
0.0534	12.0925
0.0535	12.0889
0.0536	12.0858
0.0537	12.0831
0.0538	12.0806
0.0539	12.078
0.054	12.0753
0.0541	12.072
0.0542	12.0681
0.0543	12.0635
0.0544	12.0583
0.0545	12.0526
0.0546	12.0461
0.0547	12.039
0.0548	12.0311
0.0549	12.0228
0.055	12.0143
0.0551	12.0055
0.0552	11.9963
0.0553	11.9872
0.0554	11.9786
0.0555	11.9706
0.0556	11.9638
0.0557	11.958
0.0558	11.9525
0.0559	11.9477
0.056	11.9435
0.0561	11.9396
0.0562	11.9355
0.0563	11.9313
0.0564	11.9266
0.0565	11.9215
0.0566	11.9162
0.0567	11.9107
0.0568	11.9054
0.0569	11.8999
0.057	11.894
0.0571	11.8877
0.0572	11.8817
0.0573	11.8755
0.0574	11.8691
0.0575	11.8627
0.0576	11.8566
0.0577	11.8504
0.0578	11.8442
0.0579	11.8383
0.058	11.8323
0.0581	11.8268
0.0582	11.8217
0.0583	11.8172
0.0584	11.8128
0.0585	11.8085
0.0586	11.8044
0.0587	11.8001
0.0588	11.7958
0.0589	11.7919
0.059	11.7879
0.0591	11.7832
0.0592	11.7781
0.0593	11.7727
0.0594	11.7665
0.0595	11.7598
0.0596	11.753
0.0597	11.7459
0.0598	11.7389
0.0599	11.7322
0.06	11.7256
0.0601	11.7194
0.0602	11.713
0.0603	11.7073
0.0604	11.7025
0.0605	11.6978
0.0606	11.6934
0.0607	11.6898
0.0608	11.6865
0.0609	11.683
0.061	11.6795
0.0611	11.6764
0.0612	11.6733
0.0613	11.6696
0.0614	11.6658
0.0615	11.6616
0.0616	11.6573
0.0617	11.6526
0.0618	11.6477
0.0619	11.6429
0.062	11.6382
0.0621	11.6334
0.0622	11.6285
0.0623	11.6242
0.0624	11.6198
0.0625	11.6158
0.0626	11.6114
0.0627	11.6074
0.0628	11.6032
0.0629	11.5996
0.063	11.5958
0.0631	11.5926
0.0632	11.59
0.0633	11.5877
0.0634	11.5851
0.0635	11.5824
0.0636	11.5793
0.0637	11.5756
0.0638	11.5717
0.0639	11.5672
0.064	11.5624
0.0641	11.5569
0.0642	11.5511
0.0643	11.5453
0.0644	11.5392
0.0645	11.5331
0.0646	11.527
0.0647	11.521
0.0648	11.5149
0.0649	11.5088
0.065	11.5029
0.0651	11.4972
0.0652	11.4919
0.0653	11.4871
0.0654	11.4829
0.0655	11.4792
0.0656	11.4756
0.0657	11.4722
0.0658	11.469
0.0659	11.4658
0.066	11.4626
0.0661	11.4597
0.0662	11.4565
0.0663	11.4533
0.0664	11.45
0.0665	11.4469
0.0666	11.4441
0.0667	11.4415
0.0668	11.4391
0.0669	11.4369
0.067	11.4346
0.0671	11.4325
0.0672	11.4305
0.0673	11.4289
0.0674	11.4269
0.0675	11.4251
0.0676	11.4232
0.0677	11.4209
0.0678	11.4187
0.0679	11.4161
0.068	11.4138
0.0681	11.4118
0.0682	11.4093
0.0683	11.4064
0.0684	11.4029
0.0685	11.399
0.0686	11.3949
0.0687	11.3903
0.0688	11.3859
0.0689	11.3809
0.069	11.3763
0.0691	11.3719
0.0692	11.3672
0.0693	11.3623
0.0694	11.3574
0.0695	11.3525
0.0696	11.3473
0.0697	11.3421
0.0698	11.3365
0.0699	11.3314
0.07	11.3265
0.0701	11.3222
0.0702	11.3181
0.0703	11.3142
0.0704	11.3103
0.0705	11.3064
0.0706	11.3031
0.0707	11.3002
0.0708	11.2975
0.0709	11.2948
0.071	11.2925
0.0711	11.2899
0.0712	11.2873
0.0713	11.2847
0.0714	11.2821
0.0715	11.2796
0.0716	11.2772
0.0717	11.2747
0.0718	11.2719
0.0719	11.2696
0.072	11.2672
0.0721	11.2653
0.0722	11.2638
0.0723	11.2629
0.0724	11.2618
0.0725	11.261
0.0726	11.2601
0.0727	11.2589
0.0728	11.2579
0.0729	11.2563
0.073	11.2545
0.0731	11.2525
0.0732	11.2503
0.0733	11.2477
0.0734	11.245
0.0735	11.2421
0.0736	11.2391
0.0737	11.2354
0.0738	11.2307
0.0739	11.2258
0.074	11.2206
0.0741	11.2151
0.0742	11.2092
0.0743	11.2035
0.0744	11.1978
0.0745	11.1926
0.0746	11.1878
